,School_Original,Nickname_Original,Conference_Original,ID,FullName,ShortName,Mascot,Location,Conference,PrestigeHistoric,PrestigeCurrent
130,"University of California, Irvine (UC Irvine)",Anteaters,Big West,,,,,,,,
131,"University of California, Riverside (UC Riverside)",Highlanders,Big West,,,,,,,,
132,"University of California, San Diego (UC San Diego, UCSD)[b]",Tritons,Big West,,,,,,,,
133,"University of California, Santa Barbara (UC Santa Barbara, UCSB)",Gauchos,Big West,,,,,,,,
134,Campbell University,Fighting Camels,CAA,,,,,,,,
135,College of Charleston (Charleston),Cougars,CAA,,,,,,,,
136,University of Delaware,Fightin' Blue Hens,CAA[g],,,,,,,,
137,Drexel University,Dragons,CAA,,,,,,,,
138,Elon University,Phoenix,CAA,,,,,,,,
139,Hampton University,Pirates,CAA,,,,,,,,
140,Hofstra University,Pride,CAA,,,,,,,,
141,Monmouth University,Hawks,CAA,,,,,,,,
142,North Carolina Agricultural and Technical State University (North Carolina A&T),Aggies,CAA,,,,,,,,
143,Northeastern University,Huskies,CAA,,,,,,,,
144,Stony Brook University,Seawolves,CAA,,,,,,,,
145,Towson University,Tigers,CAA,,,,,,,,
146,University of North Carolina at Wilmington (UNCW or UNC Wilmington),Seahawks,CAA,,,,,,,,
147,College of William & Mary,Tribe,CAA,,,,,,,,
148,Florida International University (FIU),Panthers,Conference USA,,,,,,,,
149,Jacksonville State University,Gamecocks,Conference USA,,,,,,,,
150,Liberty University,Flames,Conference USA,,,,,,,,
151,Louisiana Tech University,Bulldogs,Conference USA,,,,,,,,
152,"Middle Tennessee State University (Middle Tennessee, MTSU)",Blue Raiders,Conference USA,,,,,,,,
153,New Mexico State University,Aggies,Conference USA,,,,,,,,
154,Sam Houston State University (Sam Houston),Bearkats,Conference USA,,,,,,,,
155,University of Texas at El Paso (UTEP),Miners,Conference USA,,,,,,,,
156,Western Kentucky University (WKU),Hilltoppers,Conference USA,,,,,,,,
157,Cleveland State University,Vikings,Horizon League,,,,,,,,
158,University of Detroit Mercy,Titans,Horizon League,,,,,,,,
159,Indiana University – Purdue University Indianapolis (IUPUI)[h],Jaguars,Horizon League,,,,,,,,
160,University of Wisconsin-Milwaukee (Milwaukee),Panthers,Horizon League,,,,,,,,
161,Northern Kentucky University (NKU),Norse,Horizon League,,,,,,,,
162,Oakland University,Golden Grizzlies,Horizon League,,,,,,,,
163,Purdue University Fort Wayne (Purdue Fort Wayne),Mastodons,Horizon League,,,,,,,,
164,Robert Morris University,Colonials,Horizon League,,,,,,,,
165,University of Wisconsin–Green Bay (Green Bay),Phoenix,Horizon League,,,,,,,,
166,Wright State University,Raiders,Horizon League,,,,,,,,
167,Youngstown State University,Penguins,Horizon League,,,,,,,,
168,Chicago State University,Cougars,Independent[i],,,,,,,,
169,Brown University,Bears,Ivy League,,,,,,,,
170,Columbia University,Lions,Ivy League,,,,,,,,
171,Cornell University,Big Red,Ivy League,,,,,,,,
172,Dartmouth College,Big Green,Ivy League,,,,,,,,
173,Harvard University,Crimson,Ivy League,,,,,,,,
174,University of Pennsylvania (Penn),Quakers,Ivy League,,,,,,,,
175,Princeton University,Tigers,Ivy League,,,,,,,,
176,Yale University,Bulldogs,Ivy League,,,,,,,,
177,Canisius University,Golden Griffins,MAAC,,,,,,,,
178,Fairfield University,Stags,MAAC,,,,,,,,
179,Iona University,Gaels,MAAC,,,,,,,,
180,Manhattan College,Jaspers,MAAC,,,,,,,,
181,Marist College,Red Foxes,MAAC,,,,,,,,
182,Mount St. Mary's University,Mountaineers,MAAC,,,,,,,,
183,Niagara University,Purple Eagles,MAAC,,,,,,,,
184,Quinnipiac University,Bobcats,MAAC,,,,,,,,
185,Rider University,Broncs,MAAC,,,,,,,,
186,Saint Peter's University,Peacocks,MAAC,,,,,,,,
187,Siena College,Saints,MAAC,,,,,,,,
188,University of Akron,Zips,MAC,,,,,,,,
189,Ball State University,Cardinals,MAC,,,,,,,,
190,Bowling Green State University (Bowling Green),Falcons,MAC,,,,,,,,
191,University at Buffalo,Bulls,MAC,,,,,,,,
192,Central Michigan University,Chippewas,MAC,,,,,,,,
193,Eastern Michigan University,Eagles,MAC,,,,,,,,
194,Kent State University,Golden Flashes,MAC,,,,,,,,
195,Miami University (Miami (OH)),RedHawks,MAC,,,,,,,,
196,Northern Illinois University (NIU),Huskies,MAC,,,,,,,,
197,Ohio University,Bobcats,MAC,,,,,,,,
198,University of Toledo,Rockets,MAC,,,,,,,,
199,Western Michigan University,Broncos,MAC,,,,,,,,
200,Coppin State University,Eagles,MEAC,,,,,,,,
201,Delaware State University,Hornets,MEAC,,,,,,,,
202,Howard University,Bison,MEAC,,,,,,,,
203,University of Maryland Eastern Shore (UMES),Hawks,MEAC,,,,,,,,
204,Morgan State University,Bears,MEAC,,,,,,,,
205,Norfolk State University,Spartans,MEAC,,,,,,,,
206,North Carolina Central University (NCCU),Eagles,MEAC,,,,,,,,
207,South Carolina State University (SC State),Bulldogs,MEAC,,,,,,,,
208,Belmont University,Bruins,Missouri Valley,,,,,,,,
209,Bradley University,Braves,Missouri Valley,,,,,,,,
210,Drake University,Bulldogs,Missouri Valley,,,,,,,,
211,University of Evansville,Purple Aces,Missouri Valley,,,,,,,,
