asciiname,latitude,longitude,admin1 code,timezone
Burkesville,36.79034,-85.37052,KY,America/Chicago
Burlington,39.02756,-84.72411,KY,America/New_York
Cadiz,36.86505,-87.8353,KY,America/Chicago
Calhoun,37.53894,-87.25833,KY,America/Chicago
Calvert City,37.03339,-88.35004,KY,America/Chicago
Camargo,37.99425,-83.8877,KY,America/New_York
Campbellsville,37.3434,-85.34191,KY,America/New_York
Campton,37.73425,-83.54741,KY,America/New_York
Carlisle,38.31202,-84.02743,KY,America/New_York
Carrollton,38.6809,-85.1794,KY,America/New_York
Catlettsburg,38.4048,-82.60044,KY,America/New_York
Cave City,37.13672,-85.95692,KY,America/Chicago
Central City,37.29393,-87.12333,KY,America/Chicago
Claryville,38.91923,-84.39549,KY,America/New_York
Clay,37.47671,-87.82002,KY,America/Chicago
Clay City,37.85925,-83.91853,KY,America/New_York
Clinton,36.66728,-88.9934,KY,America/Chicago
Cloverport,37.83339,-86.63276,KY,America/Chicago
Coal Run Village,37.51316,-82.55849,KY,America/New_York
Cold Spring,39.02173,-84.43994,KY,America/New_York
Coldstream,38.31479,-85.52385,KY,America/Kentucky/Louisville
Columbia,37.10284,-85.30635,KY,America/Chicago
Corbin,36.9487,-84.09688,KY,America/New_York
Covington,39.08367,-84.50855,KY,America/New_York
Crescent Springs,39.05145,-84.58161,KY,America/New_York
Crestview Hills,39.02728,-84.58494,KY,America/New_York
Crestwood,38.32424,-85.47246,KY,America/New_York
Crittenden,38.78284,-84.60522,KY,America/New_York
Cumberland,36.97815,-82.9885,KY,America/New_York
Cynthiana,38.39035,-84.2941,KY,America/New_York
Danville,37.64563,-84.77217,KY,America/New_York
Dawson Springs,37.16727,-87.69251,KY,America/Chicago
Dayton,39.11284,-84.47272,KY,America/New_York
Dixon,37.51782,-87.69029,KY,America/Chicago
Douglass Hills,38.23785,-85.55274,KY,America/Kentucky/Louisville
Dry Ridge,38.68201,-84.58994,KY,America/New_York
Earlington,37.27421,-87.51194,KY,America/Chicago
Eddyville,37.0945,-88.0803,KY,America/Chicago
Edgewood,39.01867,-84.58189,KY,America/New_York
Edmonton,36.98006,-85.61219,KY,America/Chicago
Elizabethtown,37.69395,-85.85913,KY,America/New_York
Elk Creek,38.10034,-85.37107,KY,America/New_York
Elkfork,37.96481,-83.13295,KY,America/New_York
Elkton,36.81004,-87.15417,KY,America/Chicago
Elsmere,39.01256,-84.60467,KY,America/New_York
Eminence,38.37007,-85.18051,KY,America/New_York
Erlanger,39.01673,-84.60078,KY,America/New_York
Fairdale,38.10507,-85.75885,KY,America/Kentucky/Louisville
Falmouth,38.67674,-84.33021,KY,America/New_York
Fern Creek,38.15979,-85.58774,KY,America/Kentucky/Louisville
Flatwoods,38.52258,-82.71711,KY,America/New_York
Flemingsburg,38.4223,-83.73381,KY,America/New_York
Florence,38.99895,-84.62661,KY,America/New_York
Fort Mitchell,39.0595,-84.54744,KY,America/New_York
Fort Thomas,39.07506,-84.44716,KY,America/New_York
Fort Wright,39.05173,-84.53411,KY,America/New_York
Francisville,39.10506,-84.72439,KY,America/New_York
Frankfort,38.20091,-84.87328,KY,America/New_York
Franklin,36.72226,-86.57722,KY,America/Chicago
Frenchburg,37.95092,-83.62575,KY,America/New_York
Fulton,36.50423,-88.87423,KY,America/Chicago
Georgetown,38.2098,-84.55883,KY,America/New_York
Glasgow,36.99588,-85.91192,KY,America/Chicago
Graymoor-Devondale,38.27313,-85.62302,KY,America/Kentucky/Louisville
Grayson,38.33258,-82.9485,KY,America/New_York
Greensburg,37.26089,-85.49885,KY,America/Chicago
Greenup,38.57313,-82.83017,KY,America/New_York
Greenville,37.20115,-87.17889,KY,America/Chicago
Guthrie,36.64838,-87.16639,KY,America/Chicago
Hardinsburg,37.78006,-86.46053,KY,America/Chicago
Harlan,36.84314,-83.32185,KY,America/New_York
Harrodsburg,37.7623,-84.84329,KY,America/New_York
Hartford,37.45116,-86.90916,KY,America/Chicago
Hawesville,37.90006,-86.75499,KY,America/Chicago
Hazard,37.24954,-83.19323,KY,America/New_York
Hebron,39.06589,-84.70106,KY,America/New_York
Hebron Estates,38.04951,-85.66607,KY,America/New_York
Henderson,37.83615,-87.59001,KY,America/Chicago
Hendron,37.0395,-88.62922,KY,America/Chicago
Hickman,36.57117,-89.18618,KY,America/Chicago
Highland Heights,39.03312,-84.45189,KY,America/New_York
Highview,38.14285,-85.62413,KY,America/Kentucky/Louisville
Hillview,38.06979,-85.68551,KY,America/New_York
Hindman,37.33593,-82.98044,KY,America/New_York
Hodgenville,37.57395,-85.73996,KY,America/New_York
Hopkinsville,36.86561,-87.49117,KY,America/Chicago
Horse Cave,37.1795,-85.90692,KY,America/Chicago
Hurstbourne Acres,38.22118,-85.58913,KY,America/Kentucky/Louisville
Hurstbourne,38.23813,-85.58829,KY,America/Kentucky/Louisville
Hyden,37.16093,-83.37324,KY,America/New_York
Independence,38.94312,-84.54411,KY,America/New_York
Indian Hills,38.27257,-85.66274,KY,America/Kentucky/Louisville
Indian Hills Cherokee Section,38.27951,-85.64996,KY,America/Kentucky/Louisville
Inez,37.86648,-82.53876,KY,America/New_York
Ironville,38.45647,-82.69238,KY,America/New_York
Irvine,37.70064,-83.97381,KY,America/New_York
Irvington,37.88034,-86.28386,KY,America/Chicago
Jackson,37.55315,-83.38351,KY,America/New_York
Jackson,37.82508,-84.87079,KY,America/New_York
Jamestown,36.98479,-85.06301,KY,America/Chicago
Jeffersontown,38.19424,-85.5644,KY,America/Kentucky/Louisville
Jeffersonville,37.97369,-83.84186,KY,America/New_York
Jenkins,37.17344,-82.63099,KY,America/New_York
Junction City,37.58674,-84.79384,KY,America/New_York
Knottsville,37.77172,-86.90416,KY,America/Chicago
La Center,37.07672,-88.97368,KY,America/Chicago
La Grange,38.40757,-85.37885,KY,America/New_York
Lakeside Park,39.03562,-84.56911,KY,America/New_York
Lancaster,37.61952,-84.578,KY,America/New_York
Lawrenceburg,38.0373,-84.89662,KY,America/New_York
Lebanon,37.56979,-85.25274,KY,America/New_York
Lebanon Junction,37.83451,-85.7319,KY,America/New_York
Ledbetter,37.04756,-88.47699,KY,America/Chicago
Leitchfield,37.48005,-86.29386,KY,America/Chicago
Lewisport,37.937,-86.90221,KY,America/Chicago
Lexington,37.98869,-84.47772,KY,America/New_York
Lexington-Fayette,38.0498,-84.45855,KY,America/New_York
Liberty,37.31841,-84.9394,KY,America/New_York
Livermore,37.4931,-87.13194,KY,America/Chicago
London,37.12898,-84.08326,KY,America/New_York
Louisa,38.11425,-82.60321,KY,America/New_York
Louisville,38.25424,-85.75941,KY,America/Kentucky/Louisville
Ludlow,39.09256,-84.54744,KY,America/New_York
Lyndon,38.25674,-85.60163,KY,America/Kentucky/Louisville
Madisonville,37.3281,-87.49889,KY,America/Chicago
Manchester,37.1537,-83.76186,KY,America/New_York
Marion,37.33283,-88.08113,KY,America/Chicago
Masonville,37.67505,-87.03472,KY,America/Chicago
Massac,37.029,-88.686,KY,America/Chicago
Mayfield,36.74172,-88.63672,KY,America/Chicago
Maysville,38.64119,-83.74437,KY,America/New_York
McKee,37.43036,-83.99798,KY,America/New_York
Meads,38.41258,-82.70905,KY,America/New_York
Middlesboro,36.60842,-83.71658,KY,America/New_York
Middletown,38.24535,-85.53885,KY,America/Kentucky/Louisville
Midway,38.15091,-84.68383,KY,America/New_York
Heritage Creek,38.12368,-85.71968,KY,America/Kentucky/Louisville
Monticello,36.82979,-84.84911,KY,America/Kentucky/Monticello
Monticello,37.9923,-84.55022,KY,America/New_York
Morehead,38.18397,-83.43268,KY,America/New_York
Morehead,37.27115,-87.17638,KY,America/Chicago
Morganfield,37.68338,-87.91669,KY,America/Chicago
Morgantown,37.2256,-86.6836,KY,America/Chicago
Mount Olivet,38.53146,-84.03687,KY,America/New_York
Mount Sterling,38.05647,-83.94326,KY,America/New_York
Mount Vernon,38.02563,-84.49522,KY,America/New_York
Mount Vernon,37.35286,-84.34049,KY,America/New_York
Mount Washington,38.05006,-85.54579,KY,America/New_York
Munfordville,37.27228,-85.89108,KY,America/Chicago
Murray,36.61033,-88.31476,KY,America/Chicago
New Castle,38.4334,-85.16968,KY,America/New_York
Newburg,38.16007,-85.65968,KY,America/Kentucky/Louisville
Newport,39.09145,-84.49578,KY,America/New_York
Nicholasville,37.88063,-84.573,KY,America/New_York
North Corbin,36.96064,-84.09326,KY,America/New_York
Northfield,38.28701,-85.64107,KY,America/Kentucky/Louisville
Nortonville,37.19088,-87.45278,KY,America/Chicago
Oak Grove,36.66505,-87.44279,KY,America/Chicago
Oak Grove,37.34421,-86.75471,KY,America/Chicago
Oakbrook,38.99978,-84.68522,KY,America/New_York
Okolona,38.14118,-85.68774,KY,America/Kentucky/Louisville
Olive Hill,38.30008,-83.17407,KY,America/New_York
Orchard Grass Hills,38.32368,-85.52135,KY,America/New_York
Owensboro,37.77422,-87.11333,KY,America/Chicago
Owenton,38.53672,-84.84338,KY,America/New_York
Owingsville,38.1448,-83.76408,KY,America/New_York
Paintsville,37.81454,-82.80711,KY,America/New_York
Park Hills,39.07145,-84.53217,KY,America/New_York
Paris,38.2098,-84.25299,KY,America/New_York
Pewee Valley,38.31062,-85.48746,KY,America/New_York
Pikeville,37.47927,-82.51876,KY,America/New_York
Pine Knot,36.65091,-84.43855,KY,America/New_York
Pineville,36.76203,-83.69492,KY,America/New_York
Pioneer Village,38.06062,-85.67774,KY,America/New_York
Plano,36.88032,-86.41832,KY,America/Chicago
Pleasure Ridge Park,38.14535,-85.8583,KY,America/Kentucky/Louisville
Prestonsburg,37.66565,-82.77155,KY,America/New_York
Princeton,37.10922,-87.88196,KY,America/Chicago
Prospect,38.34507,-85.61552,KY,America/Kentucky/Louisville
Providence,38.57451,-85.22107,KY,America/New_York
Providence,37.39755,-87.76279,KY,America/Chicago
Raceland,38.54008,-82.7285,KY,America/New_York
Radcliff,37.84035,-85.94913,KY,America/New_York
Reidland,37.01756,-88.53143,KY,America/Chicago
Richmond,37.74786,-84.29465,KY,America/New_York
Russell,38.5173,-82.69766,KY,America/New_York
Russell Springs,37.05618,-85.08857,KY,America/Chicago
Russellville,36.84532,-86.88722,KY,America/Chicago
Ryland Heights,38.95756,-84.463,KY,America/New_York
Saint Matthews,38.25285,-85.65579,KY,America/Kentucky/Louisville
Saint Regis Park,38.22674,-85.61663,KY,America/Kentucky/Louisville
Salyersville,37.75259,-83.06878,KY,America/New_York
Sandy Hook,38.08647,-83.12628,KY,America/New_York
Scottsville,36.75338,-86.19054,KY,America/Chicago
Sebree,37.60699,-87.52862,KY,America/Chicago
Shelbyville,38.21201,-85.22357,KY,America/New_York
Shepherdsville,37.9884,-85.71579,KY,America/New_York
Shively,38.20007,-85.82274,KY,America/Kentucky/Louisville
Silver Grove,39.03451,-84.39022,KY,America/New_York
Simpsonville,38.22257,-85.35523,KY,America/New_York
Smithland,37.13894,-88.40337,KY,America/Chicago
Somerset,37.09202,-84.60411,KY,America/New_York
South Shore,38.72091,-82.95823,KY,America/New_York
Southgate,39.072,-84.47272,KY,America/New_York
Springfield,37.68534,-85.22218,KY,America/New_York
Saint Dennis,38.1884,-85.8458,KY,America/Kentucky/Louisville
Stanford,37.53119,-84.66189,KY,America/New_York
Stanton,37.84564,-83.85825,KY,America/New_York
Stearns,36.69897,-84.47744,KY,America/New_York
Sturgis,37.54671,-87.98391,KY,America/Chicago
Taylor Mill,38.99756,-84.49633,KY,America/New_York
Taylorsville,38.03173,-85.34245,KY,America/New_York
Tompkinsville,36.70228,-85.69164,KY,America/Chicago
Union,38.9459,-84.6805,KY,America/New_York
Van Lear,37.77121,-82.75794,KY,America/New_York
Valley Station,38.11118,-85.87024,KY,America/Kentucky/Louisville
Vanceburg,38.59924,-83.3188,KY,America/New_York
Verona,38.8184,-84.66078,KY,America/New_York
Versailles,38.05258,-84.72995,KY,America/New_York
Villa Hills,39.06339,-84.593,KY,America/New_York
Vine Grove,37.81007,-85.98135,KY,America/New_York
Walton,38.87562,-84.61022,KY,America/New_York
Warsaw,38.7834,-84.90162,KY,America/New_York
Watterson Park,38.19229,-85.68329,KY,America/Kentucky/Louisville
West Buechel,38.19701,-85.66329,KY,America/Kentucky/Louisville
West Liberty,37.92148,-83.25962,KY,America/New_York
Westwood,38.48314,-82.66988,KY,America/New_York
Whitesburg,37.11843,-82.82683,KY,America/New_York
Whitley City,36.72341,-84.47049,KY,America/New_York
Wickliffe,36.96478,-89.08923,KY,America/Chicago
Wilder,39.05645,-84.48689,KY,America/New_York
Williamsburg,36.74342,-84.15966,KY,America/New_York
Williamstown,38.63812,-84.5605,KY,America/New_York
Wilmore,37.86202,-84.66161,KY,America/New_York
Winchester,37.99008,-84.17965,KY,America/New_York
Windy Hills,38.27396,-85.63441,KY,America/Kentucky/Louisville
Worthington,38.54841,-82.72433,KY,America/New_York
Worthington Hills,38.30896,-85.5269,KY,America/Kentucky/Louisville
Worthington,38.31562,-85.56163,KY,America/Kentucky/Louisville
Wurtland,38.55036,-82.77794,KY,America/New_York
Abbeville,29.97465,-92.13429,LA,America/Chicago
Abita Springs,30.47864,-90.04008,LA,America/Chicago
Addis,30.3538,-91.26539,LA,America/Chicago
Albany,30.50436,-90.58231,LA,America/Chicago
Alexandria,31.31129,-92.44514,LA,America/Chicago
Ama,29.95215,-90.29647,LA,America/Chicago
Amelia,29.66632,-91.10204,LA,America/Chicago
Amite,30.72657,-90.50898,LA,America/Chicago
Arabi,29.95437,-90.00535,LA,America/Chicago
Arcadia,32.54904,-92.92016,LA,America/Chicago
Arnaudville,30.3977,-91.93151,LA,America/Chicago
Avondale,29.91298,-90.20369,LA,America/Chicago
Baker,30.58824,-91.16816,LA,America/Chicago
Baldwin,29.83798,-91.54428,LA,America/Chicago
Ball,31.41546,-92.4118,LA,America/Chicago
Banks Springs,32.0821,-92.09291,LA,America/Chicago
Barataria,29.72327,-90.12369,LA,America/Chicago
Basile,30.4852,-92.59597,LA,America/Chicago
Bastrop,32.77828,-91.91144,LA,America/Chicago
Batchelor,30.84046,-91.66151,LA,America/Chicago
Baton Rouge,30.44332,-91.18747,LA,America/Chicago
Bawcomville,32.47042,-92.16736,LA,America/Chicago
Bayou Boeuf,29.86937,-90.59675,LA,America/Chicago
Bayou Cane,29.6241,-90.7512,LA,America/Chicago
Bayou Gauche,29.78743,-90.41314,LA,America/Chicago
Bayou Vista,29.68965,-91.27094,LA,America/Chicago
Belle Chasse,29.85493,-89.99063,LA,America/Chicago
Belle Rose,30.05048,-91.04149,LA,America/Chicago
Benton,32.69487,-93.74185,LA,America/Chicago
Bernice,32.82209,-92.65793,LA,America/Chicago
Berwick,29.69465,-91.21899,LA,America/Chicago
Blanchard,32.58098,-93.89268,LA,America/Chicago
Bogalusa,30.79102,-89.84869,LA,America/Chicago
Bossier City,32.51599,-93.73212,LA,America/Chicago
Bourg,29.55355,-90.60231,LA,America/Chicago
Boutte,29.90243,-90.38814,LA,America/Chicago
Breaux Bridge,30.27353,-91.89928,LA,America/Chicago
Bridge City,29.93326,-90.17007,LA,America/Chicago
Broussard,30.14715,-91.96123,LA,America/Chicago
Brownsfield,30.54658,-91.12066,LA,America/Chicago
Brownsville,32.48709,-92.1543,LA,America/Chicago
Brusly,30.39436,-91.25372,LA,America/Chicago
Bunkie,30.95325,-92.18263,LA,America/Chicago
Cade,30.08742,-91.9054,LA,America/Chicago
Cameron,29.79772,-93.32515,LA,America/Chicago
Campti,31.8935,-93.11822,LA,America/Chicago
Carencro,30.31714,-92.04901,LA,America/Chicago
Carlyss,30.16882,-93.37599,LA,America/Chicago
Carville,30.21742,-91.09621,LA,America/Chicago
Catahoula,30.21464,-91.709,LA,America/Chicago
Cecilia,30.33714,-91.85317,LA,America/Chicago
Central,30.55435,-91.03677,LA,America/Chicago
Chackbay,29.88354,-90.79732,LA,America/Chicago
Chalmette,29.94296,-89.96537,LA,America/Chicago
Charenton,29.88159,-91.52511,LA,America/Chicago
Chauvin,29.43855,-90.59537,LA,America/Chicago
Church Point,30.40298,-92.21513,LA,America/Chicago
Claiborne,32.51598,-92.1918,LA,America/Chicago
Clarks,32.02655,-92.13903,LA,America/Chicago
Clinton,30.86574,-91.01566,LA,America/Chicago
Colfax,31.51906,-92.70682,LA,America/Chicago
Columbia,32.10516,-92.07791,LA,America/Chicago
Convent,30.02076,-90.82982,LA,America/Chicago
Cottonport,30.98408,-92.05346,LA,America/Chicago
Covington,30.47549,-90.10042,LA,America/Chicago
Coushatta,32.01488,-93.34212,LA,America/Chicago
Crowley,30.21409,-92.37458,LA,America/Chicago
Cullen,32.96903,-93.45073,LA,America/Chicago
Cut Off,29.54272,-90.33814,LA,America/Chicago
DeQuincy,30.45048,-93.43322,LA,America/Chicago
DeRidder,30.84631,-93.28905,LA,America/Chicago
Delcambre,29.94826,-91.98873,LA,America/Chicago
Delhi,32.45764,-91.49317,LA,America/Chicago
Denham Springs,30.4874,-90.95753,LA,America/Chicago
Des Allemands,29.82382,-90.47508,LA,America/Chicago
Destrehan,29.94322,-90.35345,LA,America/Chicago
Deville,31.3574,-92.16541,LA,America/Chicago
Donaldsonville,30.10114,-90.99412,LA,America/Chicago
Dulac,29.38883,-90.71398,LA,America/Chicago
Duson,30.23576,-92.1854,LA,America/Chicago
Eastwood,32.55626,-93.56712,LA,America/Chicago
Eden Isle,30.22853,-89.79867,LA,America/Chicago
Edgard,30.04326,-90.56009,LA,America/Chicago
Elmwood,29.95659,-90.1898,LA,America/Chicago
Elton,30.48131,-92.6957,LA,America/Chicago
Erath,29.95826,-92.03596,LA,America/Chicago
Erwinville,30.53102,-91.40789,LA,America/Chicago
Estelle,29.84576,-90.10674,LA,America/Chicago
Eunice,30.49437,-92.41763,LA,America/Chicago
Farmerville,32.77347,-92.4057,LA,America/Chicago
Ferriday,31.63017,-91.55456,LA,America/Chicago
Franklin,29.79604,-91.5015,LA,America/Chicago
Franklinton,30.84731,-90.15527,LA,America/Chicago
French Settlement,30.29599,-90.7963,LA,America/Chicago
Galliano,29.44216,-90.29925,LA,America/Chicago
Gardere,30.34575,-91.14011,LA,America/Chicago
Garyville,30.05604,-90.61926,LA,America/Chicago
Glenmora,30.97658,-92.58514,LA,America/Chicago
Golden Meadow,29.37911,-90.26008,LA,America/Chicago
Gonzales,30.23853,-90.9201,LA,America/Chicago
Grambling,32.52765,-92.71404,LA,America/Chicago
Gramercy,30.04742,-90.68981,LA,America/Chicago
Grand Isle,29.23662,-89.98729,LA,America/Chicago
Grand Point,30.06131,-90.75343,LA,America/Chicago
Gray,29.69771,-90.78648,LA,America/Chicago
Greensburg,30.83074,-90.67176,LA,America/Chicago
Greenwood,32.44293,-93.97296,LA,America/Chicago
Greenwood,30.54491,-91.10677,LA,America/Chicago
Gretna,29.91465,-90.05396,LA,America/Chicago
Gueydan,30.02604,-92.50847,LA,America/Chicago
Hackberry,29.99605,-93.3421,LA,America/Chicago
Hahnville,29.97659,-90.40897,LA,America/Chicago
Hammond,30.50463,-90.46293,LA,America/Chicago
Harahan,29.94048,-90.20313,LA,America/Chicago
Harrisonburg,31.77211,-91.82152,LA,America/Chicago
Harvey,29.90354,-90.07729,LA,America/Chicago
Haughton,32.53265,-93.50406,LA,America/Chicago
Haynesville,32.96208,-93.14016,LA,America/Chicago
Henderson,30.31325,-91.79039,LA,America/Chicago
Homer,32.79192,-93.05503,LA,America/Chicago
Houma,29.59577,-90.71953,LA,America/Chicago
Independence,30.63551,-90.50335,LA,America/Chicago
Inniswold,30.40491,-91.08344,LA,America/Chicago
Iota,30.33131,-92.49569,LA,America/Chicago
Iowa,30.23687,-93.01376,LA,America/Chicago
Jackson,30.8374,-91.21761,LA,America/Chicago
Jean Lafitte,29.73604,-90.12674,LA,America/Chicago
Jeanerette,29.91104,-91.66345,LA,America/Chicago
Jefferson,29.96604,-90.15313,LA,America/Chicago
Jena,31.68323,-92.13374,LA,America/Chicago
Jennings,30.22243,-92.65708,LA,America/Chicago
Jonesboro,32.24127,-92.71599,LA,America/Chicago
Jonesville,31.62656,-91.81818,LA,America/Chicago
Kaplan,29.99798,-92.28485,LA,America/Chicago
Kenner,29.99409,-90.24174,LA,America/Chicago
Kentwood,30.93824,-90.50898,LA,America/Chicago
Killian,30.35881,-90.5862,LA,America/Chicago
Kinder,30.48548,-92.8507,LA,America/Chicago
Krotz Springs,30.53686,-91.75289,LA,America/Chicago
Labadieville,29.83743,-90.95621,LA,America/Chicago
Lacombe,30.31353,-89.94313,LA,America/Chicago
Lafayette,30.22409,-92.01984,LA,America/Chicago
Lake Arthur,30.08076,-92.67153,LA,America/Chicago
Lake Charles,30.21309,-93.2044,LA,America/Chicago
Lake Providence,32.80499,-91.17098,LA,America/Chicago
Lakeshore,32.53514,-92.02958,LA,America/Chicago
Laplace,30.06698,-90.48147,LA,America/Chicago
Larose,29.57244,-90.38175,LA,America/Chicago
Lawtell,30.51853,-92.18485,LA,America/Chicago
Lecompte,31.09463,-92.40041,LA,America/Chicago
Leesville,31.14352,-93.261,LA,America/Chicago
Leonville,30.47047,-91.97845,LA,America/Chicago
Livingston,30.50213,-90.74787,LA,America/Chicago
Livonia,30.55908,-91.55594,LA,America/Chicago
Lockport,29.64605,-90.53925,LA,America/Chicago
Lockport Heights,29.65049,-90.54647,LA,America/Chicago
Logansport,31.97545,-93.99797,LA,America/Chicago
Luling,29.93215,-90.36647,LA,America/Chicago
Lutcher,30.04048,-90.69898,LA,America/Chicago
Mamou,30.63381,-92.4193,LA,America/Chicago
Mandeville,30.35825,-90.06563,LA,America/Chicago
Mansfield,32.03766,-93.70018,LA,America/Chicago
Mansura,31.05797,-92.04901,LA,America/Chicago
Many,31.56878,-93.48406,LA,America/Chicago
Maringouin,30.4913,-91.51955,LA,America/Chicago
Marksville,31.12797,-92.06624,LA,America/Chicago
Marrero,29.89937,-90.10035,LA,America/Chicago
Mathews,29.68632,-90.54675,LA,America/Chicago
Maurice,30.10854,-92.12457,LA,America/Chicago
Melville,30.69297,-91.744,LA,America/Chicago
Meraux,29.93017,-89.91623,LA,America/Chicago
Merrydale,30.5013,-91.10844,LA,America/Chicago
Merryville,30.75437,-93.54045,LA,America/Chicago
Metairie,29.98409,-90.15285,LA,America/Chicago
Metairie Terrace,29.97854,-90.16396,LA,America/Chicago
Midway,31.69212,-92.15236,LA,America/Chicago
Milton,30.10381,-92.07651,LA,America/Chicago
Minden,32.61543,-93.28684,LA,America/Chicago
Minorca,31.57933,-91.48179,LA,America/Chicago
Monroe,32.50931,-92.1193,LA,America/Chicago
Montegut,30.07076,-90.50203,LA,America/Chicago
Montegut,29.47439,-90.55703,LA,America/Chicago
Monticello,30.48908,-91.04872,LA,America/Chicago
Montz,30.00687,-90.46869,LA,America/Chicago
Morgan City,29.69937,-91.20677,LA,America/Chicago
Moss Bluff,30.3027,-93.19071,LA,America/Chicago
Napoleonville,29.94048,-91.02482,LA,America/Chicago
Natalbany,30.54622,-90.48619,LA,America/Chicago
Natchitoches,31.76072,-93.08627,LA,America/Chicago
New Iberia,30.00354,-91.81873,LA,America/Chicago
New Llano,31.11491,-93.27155,LA,America/Chicago
New Orleans,29.95465,-90.07507,LA,America/Chicago
New Roads,30.70157,-91.43622,LA,America/Chicago
New Sarpy,29.97817,-90.38963,LA,America/Chicago
Newellton,32.07265,-91.24095,LA,America/Chicago
Norco,29.99909,-90.4123,LA,America/Chicago
North Vacherie,29.99687,-90.70565,LA,America/Chicago
Oak Grove,32.86096,-91.38845,LA,America/Chicago
Oak Hills Place,30.35992,-91.0876,LA,America/Chicago
Oakdale,30.81603,-92.66042,LA,America/Chicago
Oberlin,30.6202,-92.76265,LA,America/Chicago
Old Jefferson,30.38269,-91.01705,LA,America/Chicago
Olla,31.90294,-92.24319,LA,America/Chicago
Opelousas,30.53353,-92.08151,LA,America/Chicago
Ossun,30.27603,-92.11235,LA,America/Chicago
Paradis,29.87965,-90.43397,LA,America/Chicago
Patterson,29.69326,-91.30205,LA,America/Chicago
Paulina,30.02631,-90.71315,LA,America/Chicago
Pearl River,30.37603,-89.7484,LA,America/Chicago
Pierre Part,29.9652,-91.20316,LA,America/Chicago
Pine Prairie,30.78381,-92.42541,LA,America/Chicago
Pineville,31.3224,-92.4343,LA,America/Chicago
Plaquemine,30.29005,-91.23497,LA,America/Chicago
Ponchatoula,30.4388,-90.44148,LA,America/Chicago
Port Allen,30.45214,-91.21011,LA,America/Chicago
Port Barre,30.5602,-91.95401,LA,America/Chicago
Port Sulphur,29.48049,-89.69395,LA,America/Chicago
Poydras,29.86937,-89.88895,LA,America/Chicago
Prairieville,30.30297,-90.97205,LA,America/Chicago
Presquille,29.56383,-90.6462,LA,America/Chicago
Prien,30.18187,-93.27377,LA,America/Chicago
Raceland,29.72743,-90.59898,LA,America/Chicago
Rayne,30.23493,-92.26846,LA,America/Chicago
Rayville,32.47736,-91.75485,LA,America/Chicago
Reserve,30.05381,-90.55175,LA,America/Chicago
Richwood,32.44876,-92.08486,LA,America/Chicago
Ringgold,32.32849,-93.27989,LA,America/Chicago
River Ridge,29.9602,-90.21563,LA,America/Chicago
Roseland,30.76491,-90.51176,LA,America/Chicago
Rosepine,30.91991,-93.28239,LA,America/Chicago
Ruston,32.52321,-92.63793,LA,America/Chicago
Saint Francisville,30.7799,-91.3765,LA,America/Chicago
Saint Gabriel,30.2577,-91.09927,LA,America/Chicago
Saint Joseph,31.91849,-91.23345,LA,America/Chicago
Saint Martinville,30.1252,-91.83345,LA,America/Chicago
Saint Rose,29.94687,-90.32313,LA,America/Chicago
Schriever,29.74215,-90.81037,LA,America/Chicago
Scott,30.23576,-92.09457,LA,America/Chicago
Shenandoah,30.4013,-91.00094,LA,America/Chicago
Shreveport,32.52515,-93.75018,LA,America/Chicago
Sibley,32.53932,-93.29628,LA,America/Chicago
Simmesport,30.98352,-91.80012,LA,America/Chicago
Slidell,30.27519,-89.78117,LA,America/Chicago
Sorrento,30.18436,-90.85926,LA,America/Chicago
South Vacherie,29.92743,-90.69981,LA,America/Chicago
Springhill,33.00597,-93.46684,LA,America/Chicago
Sterlington,32.69625,-92.08597,LA,America/Chicago
Stonewall,32.28183,-93.82407,LA,America/Chicago
Sulphur,30.23659,-93.37738,LA,America/Chicago
Sunset,30.41131,-92.06845,LA,America/Chicago
Supreme,29.85937,-90.98121,LA,America/Chicago
Swartz,32.56875,-91.98513,LA,America/Chicago
Tallulah,32.40848,-91.18678,LA,America/Chicago
Terrytown,29.91021,-90.03257,LA,America/Chicago
Thibodaux,29.79576,-90.82287,LA,America/Chicago
Timberlane,29.87743,-90.03202,LA,America/Chicago
Urania,31.86378,-92.29597,LA,America/Chicago
Vidalia,31.56544,-91.42595,LA,America/Chicago
Vienna Bend,31.73239,-93.041,LA,America/Chicago
Village Saint George,30.36214,-91.06733,LA,America/Chicago
Ville Platte,30.68797,-92.27152,LA,America/Chicago
Vinton,30.19076,-93.58127,LA,America/Chicago
Violet,29.89576,-89.89784,LA,America/Chicago
Vivian,32.87153,-93.9874,LA,America/Chicago
Waggaman,29.91854,-90.21091,LA,America/Chicago
Walker,30.48797,-90.86149,LA,America/Chicago
Watson,30.57574,-90.95316,LA,America/Chicago
Welsh,30.23604,-92.82265,LA,America/Chicago
West Ferriday,31.64044,-91.57318,LA,America/Chicago
West Monroe,32.51848,-92.14764,LA,America/Chicago
Westlake,30.24215,-93.25071,LA,America/Chicago
Westwego,29.90604,-90.1423,LA,America/Chicago
Westminster,30.4138,-91.0876,LA,America/Chicago
White Castle,30.16992,-91.14705,LA,America/Chicago
Winnfield,31.92558,-92.64131,LA,America/Chicago
Winnsboro,32.16321,-91.72068,LA,America/Chicago
Woodmere,29.85798,-90.08035,LA,America/Chicago
Woodworth,31.14658,-92.49736,LA,America/Chicago
Zachary,30.64852,-91.1565,LA,America/Chicago
