asciiname,latitude,longitude,admin1 code,timezone
North Little Rock,34.76954,-92.26709,AR,America/Chicago
Ola,35.03231,-93.22323,AR,America/Chicago
Osceola,35.70508,-89.96953,AR,America/Chicago
Ozark,35.48703,-93.8277,AR,America/Chicago
Paragould,36.0584,-90.49733,AR,America/Chicago
Paris,35.29203,-93.72992,AR,America/Chicago
Parkin,35.26342,-90.57122,AR,America/Chicago
Pea Ridge,33.92066,-91.33679,AR,America/Chicago
Pea Ridge,36.45396,-94.1152,AR,America/Chicago
Perryville,35.00481,-92.80267,AR,America/Chicago
Piggott,36.38284,-90.19065,AR,America/Chicago
Pine Bluff,34.22843,-92.0032,AR,America/Chicago
Piney,34.50314,-93.12602,AR,America/Chicago
Pocahontas,36.26146,-90.97123,AR,America/Chicago
Pottsville,35.24814,-93.04906,AR,America/Chicago
Prairie Creek,36.34202,-94.06187,AR,America/Chicago
Prairie Grove,35.97591,-94.31771,AR,America/Chicago
Prescott,33.80261,-93.38101,AR,America/Chicago
Rector,36.26312,-90.2926,AR,America/Chicago
Redfield,34.4451,-92.1832,AR,America/Chicago
Rison,33.95843,-92.19015,AR,America/Chicago
Rockwell,34.46426,-93.13379,AR,America/Chicago
Rogers,36.33202,-94.11854,AR,America/Chicago
Russellville,35.27842,-93.13379,AR,America/Chicago
Salem,36.37118,-91.82265,AR,America/Chicago
Salem,34.62898,-92.55822,AR,America/Chicago
Searcy,35.25064,-91.73625,AR,America/Chicago
Shannon Hills,34.62009,-92.39543,AR,America/Chicago
Sheridan,34.30704,-92.40127,AR,America/Chicago
Siloam Springs,36.18814,-94.5405,AR,America/Chicago
Smackover,33.36485,-92.72488,AR,America/Chicago
Southside,35.69841,-91.62347,AR,America/Chicago
Springdale,36.18674,-94.12881,AR,America/Chicago
Stamps,33.3654,-93.49518,AR,America/Chicago
Star City,33.94288,-91.84347,AR,America/Chicago
Stuttgart,34.50037,-91.55263,AR,America/Chicago
Sulphur Springs,34.18065,-92.12348,AR,America/Chicago
